Frequency [Hz], |S00| [-], Arg(S00) [-], Delay 0>0 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.684000e+08, 9.992047e-01, -7.699618e-01, 4.529082e-10, 1.233959e+02, -1.569653e+00
2.722000e+08, 9.993084e-01, -7.807755e-01, 4.526206e-10, 1.215042e+02, -1.569813e+00
2.760000e+08, 9.994113e-01, -7.915823e-01, 4.523325e-10, 1.196628e+02, -1.569969e+00
2.798000e+08, 9.995134e-01, -8.023822e-01, 4.520438e-10, 1.178695e+02, -1.570119e+00
2.836000e+08, 9.996144e-01, -8.131753e-01, 4.517539e-10, 1.161224e+02, -1.570266e+00
2.874000e+08, 9.997143e-01, -8.239614e-01, 4.514627e-10, 1.144196e+02, -1.570407e+00
2.912000e+08, 9.998129e-01, -8.347406e-01, 4.511698e-10, 1.127594e+02, -1.570544e+00
2.950000e+08, 9.999101e-01, -8.455128e-01, 4.508750e-10, 1.111401e+02, -1.570676e+00
2.988000e+08, 1.000006e+00, -8.562779e-01, 4.505779e-10, 1.095601e+02, -1.570804e+00
3.026000e+08, 1.000100e+00, -8.670359e-01, 4.502783e-10, 1.080180e+02, -1.570927e+00
3.064000e+08, 1.000192e+00, -8.777868e-01, 4.499760e-10, 1.065123e+02, -1.571046e+00
3.102000e+08, 1.000282e+00, -8.885305e-01, 4.496706e-10, 1.050417e+02, -1.571160e+00
3.140000e+08, 1.000370e+00, -8.992669e-01, 4.493621e-10, 1.036048e+02, -1.571269e+00
3.178000e+08, 1.000456e+00, -9.099959e-01, 4.490501e-10, 1.022005e+02, -1.571374e+00
3.216000e+08, 1.000540e+00, -9.207175e-01, 4.487344e-10, 1.008277e+02, -1.571474e+00
3.254000e+08, 1.000621e+00, -9.314315e-01, 4.484150e-10, 9.948508e+01, -1.571570e+00
3.292000e+08, 1.000700e+00, -9.421379e-01, 4.480915e-10, 9.817175e+01, -1.571662e+00
3.330000e+08, 1.000777e+00, -9.528366e-01, 4.477639e-10, 9.688665e+01, -1.571749e+00
3.368000e+08, 1.000851e+00, -9.635274e-01, 4.474319e-10, 9.562884e+01, -1.571832e+00
3.406000e+08, 1.000922e+00, -9.742104e-01, 4.470956e-10, 9.439739e+01, -1.571910e+00
3.444000e+08, 1.000990e+00, -9.848853e-01, 4.467547e-10, 9.319143e+01, -1.571984e+00
3.482000e+08, 1.001056e+00, -9.955520e-01, 4.464092e-10, 9.201012e+01, -1.572054e+00
3.520000e+08, 1.001119e+00, -1.006211e+00, 4.460590e-10, 9.085266e+01, -1.572120e+00
3.558000e+08, 1.001178e+00, -1.016861e+00, 4.457040e-10, 8.971828e+01, -1.572181e+00
3.596000e+08, 1.001235e+00, -1.027502e+00, 4.453442e-10, 8.860625e+01, -1.572239e+00
3.634000e+08, 1.001289e+00, -1.038135e+00, 4.449796e-10, 8.751587e+01, -1.572292e+00
3.672000e+08, 1.001340e+00, -1.048760e+00, 4.446100e-10, 8.644647e+01, -1.572341e+00
3.710000e+08, 1.001388e+00, -1.059375e+00, 4.442357e-10, 8.539740e+01, -1.572387e+00
3.748000e+08, 1.001433e+00, -1.069982e+00, 4.438564e-10, 8.436803e+01, -1.572429e+00
3.786000e+08, 1.001475e+00, -1.080580e+00, 4.434723e-10, 8.335779e+01, -1.572466e+00
3.824000e+08, 1.001513e+00, -1.091168e+00, 4.430835e-10, 8.236608e+01, -1.572501e+00
3.862000e+08, 1.001549e+00, -1.101747e+00, 4.426899e-10, 8.139237e+01, -1.572531e+00
3.900000e+08, 1.001582e+00, -1.112317e+00, 4.422916e-10, 8.043613e+01, -1.572559e+00
3.938000e+08, 1.001611e+00, -1.122877e+00, 4.418888e-10, 7.949686e+01, -1.572582e+00
3.976000e+08, 1.001638e+00, -1.133428e+00, 4.414815e-10, 7.857405e+01, -1.572603e+00
